#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

evilcraftblood                                    (evilcraft:block_blood)                                                          = ?????
evilcraftpoison                                   (evilcraft:block_poison)                                                         = ??
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
h2so4                                             ([no block])                                                                     = Sulphuric Acid
propane                                           ([no block])                                                                     = Propane
sulphur                                           ([no block])                                                                     = Liquid Sulphur
energite                                          ([no block])                                                                     = Energite
ftglowstone                                       ([no block])                                                                     = Liquefied Glowstone
mutagen                                           (gendustry:mutagen)                                                              = ???????
liquiddna                                         (gendustry:liquiddna)                                                            = ?????? ???
protein                                           (gendustry:protein)                                                              = ???????
syngas                                            (advgenerators:syngas)                                                           = Syngas
plantoil                                          (immersiveengineering:fluidplantoil)                                             = ???????????? ?????
ethanol                                           (immersiveengineering:fluidethanol)                                              = ??????
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = ?????????
concrete                                          (immersiveengineering:fluidconcrete)                                             = ?????? ?????
uranium                                           (immersiveengineering:molten_uranium)                                            = ????????????? ????
oil                                               (immersivepetroleum:fluid_crude_oil)                                             = ? ??????
diesel                                            (immersivepetroleum:fluid_diesel)                                                = ? ????????? ????????
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = ?? ???????
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = ? ????????
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
dist_water                                        (immersivetech:fluiddistwater)                                                   = Distilled Water
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = Menril Resin
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = Liquid Chorus
soulium                                           (mysticalagradditions:molten_soulium)                                            = Molten Soulium
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = Molten Base Essence
inferium                                          (mysticalagradditions:molten_inferium)                                           = Molten Inferium
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = Molten Prudentium
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = Molten Intermedium
superium                                          (mysticalagradditions:molten_superium)                                           = Molten Superium
supremium                                         (mysticalagradditions:molten_supremium)                                          = Molten Supremium
oxygen                                            (nuclearcraft:fluid_oxygen)                                                      = ????????
hydrogen                                          (nuclearcraft:fluid_hydrogen)                                                    = ???????
deuterium                                         (nuclearcraft:fluid_deuterium)                                                   = ????????
tritium                                           (nuclearcraft:fluid_tritium)                                                     = ??????
helium3                                           (nuclearcraft:fluid_helium3)                                                     = ?????-3
helium                                            (nuclearcraft:fluid_helium)                                                      = ?????
boron                                             (nuclearcraft:fluid_boron)                                                       = ????????????? ???
boron10                                           (nuclearcraft:fluid_boron10)                                                     = ????????????? ???-10
boron11                                           (nuclearcraft:fluid_boron11)                                                     = ????????????? ???-11
lithium                                           (nuclearcraft:fluid_lithium)                                                     = ????????????? ?????
lithium6                                          (nuclearcraft:fluid_lithium6)                                                    = ????????????? ?????-6
lithium7                                          (nuclearcraft:fluid_lithium7)                                                    = ????????????? ?????-7
ferroboron                                        (nuclearcraft:fluid_ferroboron)                                                  = ????????????? ????????
tough                                             (nuclearcraft:fluid_tough)                                                       = ????????????? ??????? ?????
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = ????????????? ??????? ???????
beryllium                                         (nuclearcraft:fluid_beryllium)                                                   = ????????????? ????????
manganese                                         (nuclearcraft:fluid_manganese)                                                   = Molten Manganese
manganese_dioxide                                 (nuclearcraft:fluid_manganese_dioxide)                                           = Molten Manganese Dioxide
sulfur                                            (nuclearcraft:fluid_sulfur)                                                      = ????????????? ????
arsenic                                           (nuclearcraft:fluid_arsenic)                                                     = ????????????? ??????
liquidhelium                                      (nuclearcraft:fluid_liquidhelium)                                                = ?????? ?????
liquid_nitrogen                                   (nuclearcraft:fluid_liquid_nitrogen)                                             = Liquid Nitrogen
plasma                                            (nuclearcraft:fluid_plasma)                                                      = ??????
neutron                                           (nuclearcraft:fluid_neutron)                                                     = ?????????? ????????
radaway                                           (nuclearcraft:fluid_radaway)                                                     = ???????? ????????
radaway_slow                                      (nuclearcraft:fluid_radaway_slow)                                                = Slow-Acting RadAway Fluid
nitrogen                                          (nuclearcraft:fluid_nitrogen)                                                    = ????
fluorine                                          (nuclearcraft:fluid_fluorine)                                                    = ????
carbon_dioxide                                    (nuclearcraft:fluid_carbon_dioxide)                                              = ?????????? ???
carbon_monoxide                                   (nuclearcraft:fluid_carbon_monoxide)                                             = ????????? ????????
ethene                                            (nuclearcraft:fluid_ethene)                                                      = ??????
fluoromethane                                     (nuclearcraft:fluid_fluoromethane)                                               = ?????????
ammonia                                           (nuclearcraft:fluid_ammonia)                                                     = ??????
oxygen_difluoride                                 (nuclearcraft:fluid_oxygen_difluoride)                                           = ???????? ?????????
diborane                                          (nuclearcraft:fluid_diborane)                                                    = ???????
sulfur_dioxide                                    (nuclearcraft:fluid_sulfur_dioxide)                                              = ??????? ????
sulfur_trioxide                                   (nuclearcraft:fluid_sulfur_trioxide)                                             = ???????? ????
hydrofluoric_acid                                 (nuclearcraft:fluid_hydrofluoric_acid)                                           = ?????????? ???????
boric_acid                                        (nuclearcraft:fluid_boric_acid)                                                  = ?????? ???????
sulfuric_acid                                     (nuclearcraft:fluid_sulfuric_acid)                                               = ?????? ???????
boron_nitride_solution                            (nuclearcraft:fluid_boron_nitride_solution)                                      = ??????? ??????? ????
fluorite_water                                    (nuclearcraft:fluid_fluorite_water)                                              = ??????????? ????
calcium_sulfate_solution                          (nuclearcraft:fluid_calcium_sulfate_solution)                                    = ??????? ???????? ???????
sodium_fluoride_solution                          (nuclearcraft:fluid_sodium_fluoride_solution)                                    = ??????? ??????? ??????
potassium_fluoride_solution                       (nuclearcraft:fluid_potassium_fluoride_solution)                                 = ??????? ??????? ?????
sodium_hydroxide_solution                         (nuclearcraft:fluid_sodium_hydroxide_solution)                                   = ??????? ?????????? ??????
potassium_hydroxide_solution                      (nuclearcraft:fluid_potassium_hydroxide_solution)                                = ??????? ?????????? ?????
borax_solution                                    (nuclearcraft:fluid_borax_solution)                                              = ??????? ????
corium                                            (nuclearcraft:fluid_corium)                                                      = ??????
chocolate_liquor                                  (nuclearcraft:fluid_chocolate_liquor)                                            = ?????????? ?????
cocoa_butter                                      (nuclearcraft:fluid_cocoa_butter)                                                = ????????? ?????
unsweetened_chocolate                             (nuclearcraft:fluid_unsweetened_chocolate)                                       = ????????????? ????????? ???????
dark_chocolate                                    (nuclearcraft:fluid_dark_chocolate)                                              = ????????????? ?????? ???????
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = ????????????? ???????? ???????
gelatin                                           (nuclearcraft:fluid_gelatin)                                                     = ????????????? ???????
hydrated_gelatin                                  (nuclearcraft:fluid_hydrated_gelatin)                                            = ??????????????? ???????
marshmallow                                       (nuclearcraft:fluid_marshmallow)                                                 = ?????? ?????
lif                                               (nuclearcraft:fluid_lif)                                                         = ????????????? ???????? ??????
bef2                                              (nuclearcraft:fluid_bef2)                                                        = ????????????? ??????????? ??????
flibe                                             (nuclearcraft:fluid_flibe)                                                       = ????????????? ??????? ????? FLiBe
naoh                                              (nuclearcraft:fluid_naoh)                                                        = ????????????? ????????? ??????
koh                                               (nuclearcraft:fluid_koh)                                                         = ????????????? ????????? ?????
high_pressure_steam                               (nuclearcraft:fluid_high_pressure_steam)                                         = ??? ???????? ????????
exhaust_steam                                     (nuclearcraft:fluid_exhaust_steam)                                               = ????????? ???
low_pressure_steam                                (nuclearcraft:fluid_low_pressure_steam)                                          = ??? ??????? ????????
low_quality_steam                                 (nuclearcraft:fluid_low_quality_steam)                                           = ????????????????? ???
preheated_water                                   (nuclearcraft:fluid_preheated_water)                                             = ?????????? ????
condensate_water                                  (nuclearcraft:fluid_condensate_water)                                            = ???????????? ????
sodium                                            (nuclearcraft:fluid_sodium)                                                      = ????????????? ??????
potassium                                         (nuclearcraft:fluid_potassium)                                                   = ????????????? ?????
nak                                               (nuclearcraft:fluid_nak)                                                         = ????????????? ??????-???????? ?????
nak_hot                                           (nuclearcraft:fluid_nak_hot)                                                     = ??????? ????????????? ??????-???????? ?????
bas                                               (nuclearcraft:fluid_bas)                                                         = ??????? ?????????????? ????
sic_vapor                                         (nuclearcraft:fluid_sic_vapor)                                                   = Silicon Carbide Vapor
alugentum                                         (nuclearcraft:fluid_alugentum)                                                   = Molten Alugentum
alumina                                           (nuclearcraft:fluid_alumina)                                                     = Molten Alumina
thorium                                           (tconstruct:molten_thorium)                                                      = ????????????? ?????
thorium_fluoride                                  ([no block])                                                                     = ????????????? ?????? ?????
thorium_fluoride_flibe                            ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????
uranium_fluoride                                  ([no block])                                                                     = ????????????? ?????? ?????
uranium_fluoride_flibe                            ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????
plutonium                                         ([no block])                                                                     = ????????????? ????????
plutonium_fluoride                                ([no block])                                                                     = ????????????? ?????? ????????
plutonium_fluoride_flibe                          ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????
thorium_230                                       ([no block])                                                                     = ????????????? ?????-230
thorium_230_fluoride                              ([no block])                                                                     = ????????????? ?????? ?????-230
thorium_230_fluoride_flibe                        ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????-230
uranium_233                                       ([no block])                                                                     = ????????????? ????-233
uranium_233_fluoride                              ([no block])                                                                     = ????????????? ?????? ?????-233
uranium_233_fluoride_flibe                        ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????-233
uranium_235                                       ([no block])                                                                     = ????????????? ????-235
uranium_235_fluoride                              ([no block])                                                                     = ????????????? ?????? ?????-235
uranium_235_fluoride_flibe                        ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????-235
uranium_238                                       ([no block])                                                                     = ????????????? ????-238
uranium_238_fluoride                              ([no block])                                                                     = ????????????? ?????? ?????-238
uranium_238_fluoride_flibe                        ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????-238
neptunium_236                                     ([no block])                                                                     = ????????????? ????????-236
neptunium_236_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-236
neptunium_236_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-236
neptunium_237                                     ([no block])                                                                     = ????????????? ????????-237
neptunium_237_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-237
neptunium_237_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-237
plutonium_238                                     ([no block])                                                                     = ????????????? ????????-238
plutonium_238_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-238
plutonium_238_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-238
plutonium_239                                     ([no block])                                                                     = ????????????? ????????-239
plutonium_239_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-239
plutonium_239_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-239
plutonium_241                                     ([no block])                                                                     = ????????????? ????????-241
plutonium_241_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-241
plutonium_241_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-241
plutonium_242                                     ([no block])                                                                     = ????????????? ????????-242
plutonium_242_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-242
plutonium_242_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-242
americium_241                                     ([no block])                                                                     = ????????????? ????????-241
americium_241_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-241
americium_241_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-241
americium_242                                     ([no block])                                                                     = ????????????? ????????-242
americium_242_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-242
americium_242_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-242
americium_243                                     ([no block])                                                                     = ????????????? ????????-243
americium_243_fluoride                            ([no block])                                                                     = ????????????? ?????? ????????-243
americium_243_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ????????-243
curium_243                                        ([no block])                                                                     = ????????????? ?????-243
curium_243_fluoride                               ([no block])                                                                     = ????????????? ?????? ?????-243
curium_243_fluoride_flibe                         ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????-243
curium_245                                        ([no block])                                                                     = ????????????? ?????-245
curium_245_fluoride                               ([no block])                                                                     = ????????????? ?????? ?????-245
curium_245_fluoride_flibe                         ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????-245
curium_246                                        ([no block])                                                                     = ????????????? ?????-246
curium_246_fluoride                               ([no block])                                                                     = ????????????? ?????? ?????-246
curium_246_fluoride_flibe                         ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????-246
curium_247                                        ([no block])                                                                     = ????????????? ?????-247
curium_247_fluoride                               ([no block])                                                                     = ????????????? ?????? ?????-247
curium_247_fluoride_flibe                         ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ?????-247
berkelium_247                                     ([no block])                                                                     = ????????????? ???????-247
berkelium_247_fluoride                            ([no block])                                                                     = ????????????? ?????? ???????-247
berkelium_247_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ???????-247
berkelium_248                                     ([no block])                                                                     = ????????????? ???????-248
berkelium_248_fluoride                            ([no block])                                                                     = ????????????? ?????? ???????-248
berkelium_248_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ???????-248
californium_249                                   ([no block])                                                                     = ????????????? ??????????-249
californium_249_fluoride                          ([no block])                                                                     = ????????????? ?????? ??????????-249
californium_249_fluoride_flibe                    ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ??????????-249
californium_250                                   ([no block])                                                                     = ????????????? ??????????-250
californium_250_fluoride                          ([no block])                                                                     = ????????????? ?????? ??????????-250
californium_250_fluoride_flibe                    ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ??????????-250
californium_251                                   ([no block])                                                                     = ????????????? ??????????-251
