#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ????????????? ????????????????? ?????
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
lumium                                            (tconstruct:molten_lumium)                                                       = ????????????? ??????
signalum                                          (tconstruct:molten_signalum)                                                     = ????????????? ?????
platinum                                          (tconstruct:molten_platinum)                                                     = ????????????? ???????
enderium                                          (tconstruct:molten_enderium)                                                     = ????????????? ????????
psimetal                                          (plustic:plustic.molten_psimetal)                                                = Molten Psimetal
thaumium                                          (plustic:plustic.molten_thaumium)                                                = Molten Thaumium
starmetal                                         (plustic:plustic.molten_starmetal)                                               = Molten Starmetal
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
constantan                                        (immersiveengineering:molten_constantan)                                         = ????????????? ??????????
soulium                                           (mysticalagradditions:molten_soulium)                                            = Molten Soulium
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = Molten Base Essence
inferium                                          (mysticalagradditions:molten_inferium)                                           = Molten Inferium
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = Molten Prudentium
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = Molten Intermedium
superium                                          (mysticalagradditions:molten_superium)                                           = Molten Superium
supremium                                         (mysticalagradditions:molten_supremium)                                          = Molten Supremium
boron                                             (nuclearcraft:fluid_boron)                                                       = ????????????? ???
tough                                             (nuclearcraft:fluid_tough)                                                       = ????????????? ??????? ?????
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = ????????????? ??????? ???????
thorium                                           (tconstruct:molten_thorium)                                                      = ????????????? ?????
uranium                                           (immersiveengineering:molten_uranium)                                            = ????????????? ????
magnesium                                         (tconstruct:molten_magnesium)                                                    = ????????????? ??????
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = ????????????? ???????? ???????
molten_reinforced_pink_slime                      ([no block])                                                                     = ???????????? ????????? ??????? ???????
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
manasteel                                         (plustic:plustic.molten_manasteel)                                               = Molten Manasteel
elementium                                        (plustic:plustic.molten_elementium)                                              = Molten Elementium
terrasteel                                        (plustic:plustic.molten_terrasteel)                                              = Molten Terrasteel
emerald                                           (tconstruct:molten_emerald)                                                      = ?????? ???????
